first,second,acc
5000.0,5000.0,0.5930861723446894
5000.0,2000.0,0.5870741482965932
5000.0,1000.0,0.5917835671342685
5000.0,500.0,0.5938877755511022
5000.0,100.0,0.5829659318637275
5000.0,50.0,0.57625250501002
5000.0,10.0,0.5447895791583166
2000.0,5000.0,0.5891783567134269
2000.0,2000.0,0.587374749498998
2000.0,1000.0,0.5850701402805611
2000.0,500.0,0.5872745490981964
2000.0,100.0,0.5789579158316633
2000.0,50.0,0.5793587174348698
2000.0,10.0,0.5432865731462926
1000.0,5000.0,0.5879759519038076
1000.0,2000.0,0.5888777555110221
1000.0,1000.0,0.5987975951903808
1000.0,500.0,0.5872745490981964
1000.0,100.0,0.591182364729459
1000.0,50.0,0.5681362725450901
1000.0,10.0,0.574749498997996
500.0,5000.0,0.5867735470941884
500.0,2000.0,0.5840681362725451
500.0,1000.0,0.6022044088176353
500.0,500.0,0.5892785571142285
500.0,100.0,0.5841683366733467
500.0,50.0,0.5796593186372746
500.0,10.0,0.5481963927855712
100.0,5000.0,0.6001002004008016
100.0,2000.0,0.5909819639278557
100.0,1000.0,0.5763527054108216
100.0,500.0,0.5829659318637275
100.0,100.0,0.5838677354709418
100.0,50.0,0.5872745490981964
100.0,10.0,0.5285571142284569
50.0,5000.0,0.5980961923847695
50.0,2000.0,0.5769539078156313
50.0,1000.0,0.5775551102204409
50.0,500.0,0.5849699398797595
50.0,100.0,0.5914829659318638
50.0,50.0,0.576753507014028
50.0,10.0,0.5473947895791583
10.0,5000.0,0.5726452905811623
10.0,2000.0,0.5714428857715431
10.0,1000.0,0.5639278557114229
10.0,500.0,0.5594188376753507
10.0,100.0,0.556312625250501
10.0,50.0,0.5173346693386773
10.0,10.0,0.5309619238476954
